ds;yhat
2024-12-08 05:15:00;9081.773708202789
2024-12-08 05:30:00;9228.961322845784
2024-12-08 05:45:00;9370.655257168251
2024-12-08 06:00:00;9505.04244138491
2024-12-08 06:15:00;9630.714228452383
2024-12-08 06:30:00;9746.672543286815
2024-12-08 06:45:00;9852.312433151126
2024-12-08 07:00:00;9947.383927648794
2024-12-08 07:15:00;10031.937405184992
2024-12-08 07:30:00;10106.257620727465
2024-12-08 07:45:00;10170.792114674423
2024-12-08 08:00:00;10226.079866392185
2024-12-08 08:15:00;10272.685766873235
2024-12-08 08:30:00;10311.145798751126
2024-12-08 08:45:00;10341.926778331077
2024-12-08 09:00:00;10365.403214308277
2024-12-08 09:15:00;10381.852368422686
2024-12-08 09:30:00;10391.467074935525
2024-12-08 09:45:00;10394.384398072738
2024-12-08 10:00:00;10390.726890948754
2024-12-08 10:15:00;10380.65216056324
2024-12-08 10:30:00;10364.405719256563
2024-12-08 10:45:00;10342.371767878087
2024-12-08 11:00:00;10315.116634387643
2024-12-08 11:15:00;10283.420080688855
2024-12-08 11:30:00;10248.290555627429
2024-12-08 11:45:00;10210.961652641645
2024-12-08 12:00:00;10172.868442988567
2024-12-08 12:15:00;10135.60389873927
2024-12-08 12:30:00;10100.857181723059
2024-12-08 12:45:00;10070.337043883663
2024-12-08 13:00:00;10045.684851564743
2024-12-08 13:15:00;10028.382717640066
2024-12-08 13:30:00;10019.66282633502
2024-12-08 13:45:00;10020.4242176106
2024-12-08 14:00:00;10031.163039657562
2024-12-08 14:15:00;10051.921591562488
2024-12-08 14:30:00;10082.26040277876
2024-12-08 14:45:00;10121.256200410196
2024-12-08 15:00:00;10167.526990537819
2024-12-08 15:15:00;10219.283733858487
2024-12-08 15:30:00;10274.406346588532
2024-12-08 15:45:00;10330.540124083305
2024-12-08 16:00:00;10385.207279388136
2024-12-08 16:15:00;10435.927211528377
2024-12-08 16:30:00;10480.338443577553
2024-12-08 16:45:00;10516.314951623399
2024-12-08 17:00:00;10542.069861304792
2024-12-08 17:15:00;10556.240206998193
2024-12-08 17:30:00;10557.94758782477
2024-12-08 17:45:00;10546.831042539627
2024-12-08 18:00:00;10523.050205580637
2024-12-08 18:15:00;10487.258687577028
2024-12-08 18:30:00;10440.549519853274
2024-12-08 18:45:00;10384.376290131835
2024-12-08 19:00:00;10320.455156384192
2024-12-08 19:15:00;10250.654151955972
2024-12-08 19:30:00;10176.877007298133
2024-12-08 19:45:00;10100.949054027145
2024-12-08 20:00:00;10024.512621907888
2024-12-08 20:15:00;9948.938697322794
2024-12-08 20:30:00;9875.260524335674
2024-12-08 20:45:00;9804.133363404408
2024-12-08 21:00:00;9735.822880172507
2024-12-08 21:15:00;9670.222725863825
2024-12-08 21:30:00;9606.899921204358
2024-12-08 21:45:00;9545.164795079783
2024-12-08 22:00:00;9484.16058143605
2024-12-08 22:15:00;9422.966448985842
2024-12-08 22:30:00;9360.70682222006
2024-12-08 22:45:00;9296.659403745502
2024-12-08 23:00:00;9230.354361232101
2024-12-08 23:15:00;9161.65769195543
2024-12-08 23:30:00;9090.832790330887
2024-12-08 23:45:00;9018.575648021464
2024-12-09 00:00:00;8946.020825714348
2024-12-09 00:15:00;8874.71723269003
2024-12-09 00:30:00;8806.574713094658
2024-12-09 00:45:00;8743.784336584611
2024-12-09 01:00:00;8688.717002981899
2024-12-09 01:15:00;8643.806380147285
2024-12-09 01:30:00;8611.423216754434
2024-12-09 01:45:00;8593.74863497791
2024-12-09 02:00:00;8592.654081978444
2024-12-09 02:15:00;8609.595199539743
2024-12-09 02:30:00;8645.525988676824
2024-12-09 02:45:00;8700.838361127842
2024-12-09 03:00:00;8775.330569750411
2024-12-09 03:15:00;8868.20620103144
2024-12-09 03:30:00;8978.103516719211
2024-12-09 03:45:00;9103.153071745222
2024-12-09 04:00:00;9241.059832741435
2024-12-09 04:15:00;9389.204589082263
2024-12-09 04:30:00;9544.758371837492
2024-12-09 04:45:00;9704.802945400706
2024-12-09 05:00:00;9866.45024779997
2024-12-09 05:15:00;10026.953933137158
2024-12-09 05:30:00;10183.806886681767
2024-12-09 05:45:00;10334.819688974545
2024-12-09 06:00:00;10478.176412035162
2024-12-09 06:15:00;10612.465742986418
2024-12-09 06:30:00;10736.687134271047
2024-12-09 06:45:00;10850.233355023072
2024-12-09 07:00:00;10952.85235080459
2024-12-09 07:15:00;11044.592609594894
2024-12-09 07:30:00;11125.737188304262
2024-12-09 07:45:00;11196.73212048966
2024-12-09 08:00:00;11258.115068385687
2024-12-09 08:15:00;11310.449794169539
2024-12-09 08:30:00;11354.271338757391
2024-12-09 08:45:00;11390.045762948
2024-12-09 09:00:00;11418.147005477676
2024-12-09 09:15:00;11438.85194358812
2024-12-09 09:30:00;11452.353212636894
